iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
0,-0.0631,0.012,0.0001848856,0.0,0.0,0.691,0.010646329
500,0.25430003,0.699,0.033411406,0.008,0.0003823909,0.936,0.044739734
1000,1.5982999,3.372,0.06700314,0.002,3.9740888e-05,0.873,0.017346898
1500,2.7218003,5.602,0.056081127,0.029,0.00029031644,0.734,0.0073480094
2000,2.9813004,6.112,0.051488552,0.042,0.0003538153,0.663,0.005585227
2500,2.5184002,5.177,0.04484037,0.029,0.0002511823,0.643,0.005569318
3000,3.2071002,6.535,0.043772396,0.045,0.00030141667,0.514,0.003442848
3500,3.8972,7.908,0.04781021,0.079,0.00047761845,0.41,0.0024787793
4000,3.1887,6.482,0.03992338,0.058,0.00035722865,0.407,0.0025067597
4500,3.4859004,7.083,0.043531436,0.071,0.00043635917,0.414,0.0025444042
5000,3.4996002,7.119,0.044878017,0.099,0.0006240938,0.401,0.0025278952
5500,3.2446,6.611,0.044287093,0.077,0.000515823,0.455,0.0030480453
6000,4.9068003,9.971,0.05978212,0.189,0.0011331682,0.409,0.0024522
6500,4.5409,9.23,0.0573178,0.141,0.00087560236,0.459,0.0028503651
7000,5.4677005,11.136,0.07259216,0.231,0.001505818,0.541,0.0035266127
7500,4.5057,9.191,0.06587822,0.155,0.0011109917,0.588,0.0042146007
8000,3.7253003,7.656,0.07976413,0.107,0.0011147808,0.813,0.00847025
8500,2.1713998,4.526,0.06730512,0.036,0.00053534785,0.844,0.012550932
9000,1.9954,4.18,0.077499256,0.022,0.00040789082,0.902,0.016723525
9500,2.0271997,4.251,0.087062486,0.024,0.00049153133,0.935,0.019149242
