iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
0,-75.47637,0.0,0.0,0.0,0.0,0.0,0.0
500,-6.8524103,0.0,0.0,0.0,0.0,0.0,0.0
1000,-6.9497614,0.0,0.0,0.0,0.0,0.0,0.0
1500,-5.1900353,0.0,0.0,0.0,0.0,0.0,0.0
2000,-5.793159,0.0,0.0,0.0,0.0,0.0,0.0
2500,-6.1872845,0.0,0.0,0.0,0.0,0.0,0.0
3000,-4.603107,0.0,0.0,0.0,0.0,0.0,0.0
3500,-2.1454048,0.0,0.0,0.0,0.0,0.0,0.0
4000,-2.024904,0.0,0.0,0.0,0.0,0.0,0.0
4500,0.61722314,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.6849732,0.0,0.0,0.0,0.0,0.0,0.0
5500,-0.36227772,0.0,0.0,0.0,0.0,0.0,0.0
6000,-2.86738,0.0,0.0,0.0,0.0,0.0,0.0
6500,0.09052259,0.0,0.0,0.0,0.0,0.0,0.0
7000,0.17819738,0.0,0.0,0.0,0.0,0.0,0.0
7500,0.9885739,0.0,0.0,0.0,0.0,0.0,0.0
8000,0.085847065,0.0,0.0,0.0,0.0,0.0,0.0
8500,1.811174,0.0,0.0,0.0,0.0,0.0,0.0
9000,2.9639246,0.0,0.0,0.0,0.0,0.0,0.0
9500,1.5808481,0.0,0.0,0.0,0.0,0.0,0.0
