iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
500,9.829199,20.06,0.15564625,0.594,0.004608867,0.82,0.006362409
1000,11.744901,23.946,0.1511418,0.862,0.0054407516,0.557,0.0035156596
1500,11.962699,24.317,0.14599806,0.735,0.004412904,0.488,0.0029299278
2000,11.9792,24.303,0.14315166,0.623,0.0036696491,0.477,0.002809667
2500,11.912899,24.144,0.14100498,0.564,0.0032938537,0.463,0.002703997
3000,11.980901,24.254,0.1390719,0.512,0.0029357967,0.437,0.0025057483
3500,11.6147995,23.472,0.13270463,0.397,0.0022445356,0.418,0.0023632643
4000,11.7412,23.712,0.13377337,0.378,0.002132521,0.392,0.0022115032
4500,11.5386,23.302,0.13047983,0.368,0.0020606203,0.388,0.0021726105
5000,11.5339,23.282,0.12862629,0.363,0.0020054695,0.345,0.0019060246
5500,11.5714,23.353,0.12922701,0.351,0.0019423063,0.349,0.001931239
6000,11.7126,23.643,0.12702344,0.405,0.0021758869,0.279,0.0014989442
6500,10.8217,21.818,0.11793386,0.281,0.0015189025,0.311,0.0016810629
7000,11.785199,23.77,0.1306288,0.319,0.0017530747,0.36,0.0019783915
7500,11.634,23.485,0.12627634,0.405,0.0021776417,0.275,0.0014786457
8000,11.509301,23.214,0.12354838,0.346,0.0018414638,0.285,0.0015168127
8500,11.155301,22.524,0.119412795,0.412,0.002184251,0.243,0.0012882841
9000,11.1967,22.598,0.12036411,0.379,0.002018674,0.265,0.001411474
9500,11.172601,22.545,0.12066345,0.365,0.0019535222,0.269,0.0014397191
