iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
500,8.712452,0.0,0.0,0.0,0.0,0.0,0.0
1000,9.219253,0.0,0.0,0.0,0.0,0.0,0.0
1500,9.339553,0.0,0.0,0.0,0.0,0.0,0.0
2000,9.2829275,0.0,0.0,0.0,0.0,0.0,0.0
2500,9.138027,0.0,0.0,0.0,0.0,0.0,0.0
3000,8.983527,0.0,0.0,0.0,0.0,0.0,0.0
3500,9.473279,0.0,0.0,0.0,0.0,0.0,0.0
4000,9.412978,0.0,0.0,0.0,0.0,0.0,0.0
4500,9.132878,0.0,0.0,0.0,0.0,0.0,0.0
5000,9.482629,0.0,0.0,0.0,0.0,0.0,0.0
5500,9.458503,0.0,0.0,0.0,0.0,0.0,0.0
6000,9.551429,0.0,0.0,0.0,0.0,0.0,0.0
6500,9.510103,0.0,0.0,0.0,0.0,0.0,0.0
7000,9.434729,0.0,0.0,0.0,0.0,0.0,0.0
7500,9.496729,0.0,0.0,0.0,0.0,0.0,0.0
8000,9.496254,0.0,0.0,0.0,0.0,0.0,0.0
8500,9.531528,0.0,0.0,0.0,0.0,0.0,0.0
9000,9.559354,0.0,0.0,0.0,0.0,0.0,0.0
9500,9.549078,0.0,0.0,0.0,0.0,0.0,0.0
