iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
0,-0.039100006,0.127,0.025568753,0.013,0.002617274,1.0,0.20132877
500,0.068,0.336,0.06959403,0.0,0.0,1.0,0.2071251
1000,0.128,0.456,0.0868406,0.0,0.0,1.0,0.19043991
1500,0.14680001,0.494,0.090792134,0.001,0.00018378974,1.0,0.18378974
2000,0.14780001,0.496,0.09114296,0.001,0.00018375597,1.0,0.18375598
2500,0.144,0.488,0.09119791,0.0,0.0,1.0,0.18688096
3000,0.15800002,0.516,0.09209352,0.0,0.0,1.0,0.17847581
3500,0.097,0.394,0.072359964,0.0,0.0,1.0,0.18365473
4000,0.13800001,0.476,0.088971965,0.0,0.0,1.0,0.18691589
4500,0.0825,0.365,0.073826864,0.0,0.0,1.0,0.20226537
5000,0.082,0.364,0.07185156,0.0,0.0,1.0,0.1973944
5500,0.105,0.41,0.081559576,0.0,0.0,1.0,0.19892581
6000,0.0938,0.388,0.07924837,0.001,0.00020424837,1.0,0.20424837
6500,0.114800006,0.43,0.08351136,0.001,0.00019421247,1.0,0.19421247
7000,0.10260001,0.406,0.0789576,0.002,0.00038895372,1.0,0.19447686
7500,0.1088,0.418,0.08234831,0.001,0.00019700552,1.0,0.19700551
8000,0.11850001,0.437,0.08357239,0.0,0.0,1.0,0.19124116
8500,0.14250001,0.485,0.09084098,0.0,0.0,1.0,0.187301
9000,0.129,0.458,0.086513035,0.0,0.0,1.0,0.18889308
9500,0.136,0.472,0.0886385,0.0,0.0,1.0,0.18779343
