iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
0,-75.47655,0.0,0.0,0.008,4e-05,0.0,0.0
500,-73.15334,0.0,0.0,0.006,3e-05,0.0,0.0
1000,-77.4846,0.0,0.0,0.001,5e-06,0.0,0.0
1500,-64.14852,0.0,0.0,0.0,0.0,0.0,0.0
2000,-47.84435,0.0,0.0,0.005,2.5e-05,0.0,0.0
2500,-48.152496,0.0,0.0,0.002,1e-05,0.0,0.0
3000,-51.830353,0.0,0.0,0.001,5e-06,0.0,0.0
3500,-51.305904,0.0,0.0,0.0,0.0,0.0,0.0
4000,-50.5294,0.0,0.0,0.0,0.0,0.0,0.0
4500,-53.240955,0.0,0.0,0.0,0.0,0.0,0.0
5000,-51.58335,0.0,0.0,0.0,0.0,0.0,0.0
5500,-49.042694,0.0,0.0,0.001,5e-06,0.0,0.0
6000,-51.264805,0.0,0.0,0.0,0.0,0.0,0.0
6500,-50.8417,0.0,0.0,0.0,0.0,0.0,0.0
7000,-49.314346,0.0,0.0,0.002,1e-05,0.0,0.0
7500,-48.475647,0.0,0.0,0.0,0.0,0.0,0.0
8000,-50.753704,0.0,0.0,0.0,0.0,0.0,0.0
8500,-48.128647,0.0,0.0,0.001,5e-06,0.0,0.0
9000,-49.05495,0.0,0.0,0.002,1e-05,0.0,0.0
9500,-50.7825,0.0,0.0,0.001,5e-06,0.0,0.0
