iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
500,0.25550002,0.696,0.03104648,0.004,0.00017842805,0.917,0.04090463
1000,0.31880003,0.84,0.10670732,0.006,0.0007621951,1.0,0.12703252
1500,0.2632,0.665,0.0100695025,0.002,3.0284218e-05,0.689,0.010432913
2000,0.25910005,0.654,0.009664977,0.0,0.0,0.679,0.010034434
2500,0.2727,0.747,0.101480775,0.004,0.0005434044,1.0,0.1358511
3000,0.301,0.786,0.032878775,0.004,0.00016732201,0.912,0.03814942
3500,0.27040002,0.675,0.0097167045,0.0,0.0,0.671,0.009659124
4000,0.2964,0.763,0.02083504,0.004,0.000109226945,0.843,0.023019578
4500,0.2695,0.675,0.009870153,0.002,2.9244897e-05,0.676,0.009884775
5000,0.24710001,0.632,0.0096171405,0.0,0.0,0.689,0.010484509
5500,0.2912,0.761,0.027887717,0.001,3.6646146e-05,0.891,0.032651715
6000,0.34170002,0.854,0.02424621,0.0,0.0,0.853,0.024217818
6500,0.25840002,0.653,0.009634963,0.001,1.4754921e-05,0.679,0.010018591
7000,0.3012,0.734,0.010189491,0.0,0.0,0.658,0.009134448
7500,0.24310002,0.621,0.00908745,0.0,0.0,0.674,0.00986303
8000,0.26590002,0.71,0.025468111,0.001,3.587058e-05,0.889,0.031888943
8500,0.25740004,0.691,0.023784937,0.0,0.0,0.881,0.030324934
9000,0.27210003,0.678,0.009761716,0.0,0.0,0.669,0.009632136
9500,0.26229998,0.66,0.009672597,0.0,0.0,0.677,0.00992174
