iteration,avg_reward,avg_apples,avg_apple_ratio,avg_body_eaten,avg_body_ratio,avg_deaths,avg_death_ratio
500,-77.79915,0.0,0.0,0.494,0.00247,0.0,0.0
1000,-77.897705,0.0,0.0,0.473,0.002365,0.0,0.0
1500,-77.59129,0.0,0.0,0.547,0.002735,0.0,0.0
2000,-77.679344,0.0,0.0,0.584,0.00292,0.0,0.0
2500,-70.39844,0.0,0.0,0.421,0.002105,0.0,0.0
3000,-72.41165,0.0,0.0,0.4,0.002,0.0,0.0
3500,-71.748436,0.0,0.0,0.465,0.002325,0.0,0.0
4000,-77.8065,0.0,0.0,0.568,0.00284,0.0,0.0
4500,-77.69205,0.0,0.0,0.595,0.002975,0.0,0.0
5000,-77.61,0.0,0.0,0.586,0.00293,0.0,0.0
5500,-77.62305,0.0,0.0,0.623,0.003115,0.0,0.0
6000,-77.83716,0.0,0.0,0.517,0.002585,0.0,0.0
6500,-75.270454,0.0,0.0,0.518,0.00259,0.0,0.0
7000,-77.76625,0.0,0.0,0.519,0.002595,0.0,0.0
7500,-72.27604,0.0,0.0,0.441,0.002205,0.0,0.0
8000,-77.7319,0.0,0.0,0.583,0.002915,0.0,0.0
8500,-77.822395,0.0,0.0,0.543,0.002715,0.0,0.0
9000,-77.84556,0.0,0.0,0.513,0.002565,0.0,0.0
9500,-77.74004,0.0,0.0,0.598,0.00299,0.0,0.0
